NUMBER,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE
4328,2021,2021-07-21,1705,3,-117.0339584350586,32.85043716430664
4329,2021,2021-07-22,1437,4,-117.09024047851562,32.60569763183594
4330,2021,2021-07-25,1525,7,-117.11219787597656,32.88771057128906
4331,2020,2020-09-14,1627,1,-117.16030120849608,32.7303466796875
4332,2020,2020-09-14,1530,1,-117.14363098144533,32.768951416015625
4333,2020,2020-08-30,1721,7,-117.085868,32.746023
4334,2020,2020-08-31,1630,1,-117.22582244873048,32.728599548339844
4335,2021,2021-07-23,1453,5,-117.14096069335938,32.769683837890625
4336,2021,2021-07-20,1439,2,-117.1992416381836,32.87417984008789
4337,2021,2021-07-27,1740,2,-117.199951171875,32.8756217956543
4338,2021,2021-07-26,2308,1,-117.11609649658205,32.918453216552734
4339,2021,2021-07-20,520,2,-117.11017608642578,32.71831130981445
4340,2021,2021-07-28,1705,3,-117.12007904052734,32.69163513183594
4341,2021,2021-07-31,2313,6,-117.16629028320312,32.82838821411133
4342,2021,2021-07-30,1255,5,-117.22875213623048,32.87821960449219
4343,2021,2021-08-06,2015,5,-117.1560287475586,32.736061096191406
4344,2021,2021-07-30,940,5,-117.15006256103516,32.83826446533203
4345,2021,2021-07-23,1700,5,-117.10781097412108,32.87576675415039
4346,2021,2021-08-04,1535,3,-117.09901428222656,32.96355056762695
4347,2021,2021-08-08,610,7,-117.11651611328124,32.89801406860352
4348,2021,2021-07-17,2130,6,-117.15374755859376,32.72417449951172
4349,2021,2021-08-04,1050,3,-117.06703186035156,32.6510124206543
4350,2021,2021-08-09,1450,1,-117.13662719726562,32.69684982299805
4351,2021,2021-07-30,1210,5,-117.0727767944336,33.04901123046875
4352,2021,2021-08-07,1145,6,-117.19647216796876,32.760528564453125
4353,2021,2021-08-08,620,7,-117.09410858154295,32.96461868286133
4354,2020,2020-11-01,153,7,-117.07461547851562,32.77942657470703
4355,2021,2021-08-04,1550,3,-117.03556060791016,32.85080337524414
4356,2020,2020-09-10,53,4,-117.22151184082033,32.742431640625
4357,2020,2020-09-12,1824,6,-117.24462890625,32.792938232421875
4358,2020,2020-09-13,2230,7,-117.15740203857422,32.71152114868164
4359,2021,2021-07-19,1825,1,-117.03800201416016,32.58390045166016
4360,2021,2021-07-28,135,3,-117.08921051025392,32.583770751953125
4361,2021,2021-08-12,800,4,-117.1464385986328,32.8215217590332
4362,2021,2021-07-07,1645,3,-117.23616027832033,32.846946716308594
4363,2021,2021-07-08,1810,4,-117.19235229492188,32.866920471191406
4364,2021,2021-08-17,1615,2,-117.12026977539062,32.843215942382805
4365,2021,2021-07-03,315,6,-117.12262725830078,32.748321533203125
4366,2021,2021-07-30,1258,5,-117.11917114257812,32.701370239257805
4367,2021,2021-07-29,1535,4,-117.14701080322266,32.767189025878906
4368,2021,2021-08-12,336,4,-117.20015716552734,32.877685546875
4369,2021,2021-08-20,1515,5,-117.02484130859376,32.842533111572266
4370,2021,2021-08-14,402,6,-117.10926055908205,32.88128662109375
4371,2020,2020-09-16,1215,3,-117.14263916015624,32.77537155151367
4372,2020,2020-09-15,223,2,-117.2216567993164,32.756099700927734
4373,2020,2020-09-15,1922,2,-117.13385009765624,32.71149444580078
4374,2020,2020-09-15,1610,2,-117.07050323486328,32.759708404541016
4375,2021,2021-07-16,105,5,-117.1229248046875,32.75014114379883
4376,2021,2021-08-24,1654,2,-117.11927795410156,32.833961486816406
4377,2021,2021-08-22,2325,7,-117.18415832519533,32.85715103149414
4378,2021,2021-08-25,735,3,-117.113525390625,32.789180755615234
4379,2021,2021-08-25,1720,3,-117.1371612548828,32.71305465698242
4380,2020,2020-08-14,2216,5,-117.10825347900392,32.75320816040039
